"EntityLogicalName","EntitySchemaName","RelationshipSchemaName","ReferencedEntity","ReferencingEntity","ReferencedAttribute","ReferencingAttribute","RelationshipType","CascadeConfiguration","IsCustomRelationship"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","owner_solar_solarpreventivetaskcategory","owner","solar_solarpreventivetaskcategory","ownerid","ownerid","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarpreventivetaskcategory","solar_solarpreventivetaskcategory","business_unit_solar_solarpreventivetaskcategory","businessunit","solar_solarpreventivetaskcategory","businessunitid","owningbusinessunit","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""Restrict"",""Archive"":""Restrict"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","solar_solarinverter_DeletedItemReferences","solar_solarinverter","deleteditemreference","solar_solarinverterid","deletedobject","OneToMany","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","solar_solarinverter_SyncErrors","solar_solarinverter","syncerror","solar_solarinverterid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","solar_solarinverter_AsyncOperations","solar_solarinverter","asyncoperation","solar_solarinverterid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","solar_solarinverter_MailboxTrackingFolders","solar_solarinverter","mailboxtrackingfolder","solar_solarinverterid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","solar_solarinverter_UserEntityInstanceDatas","solar_solarinverter","userentityinstancedata","solar_solarinverterid","objectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","solar_solarinverter_ProcessSession","solar_solarinverter","processsession","solar_solarinverterid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","solar_solarinverter_BulkDeleteFailures","solar_solarinverter","bulkdeletefailure","solar_solarinverterid","regardingobjectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","solar_solarinverter_PrincipalObjectAttributeAccesses","solar_solarinverter","principalobjectattributeaccess","solar_solarinverterid","objectid","OneToMany","{""Assign"":""NoCascade"",""Delete"":""Cascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","TransactionCurrency_solar_solarinverter","transactioncurrency","solar_solarinverter","transactioncurrencyid","transactioncurrencyid","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""Restrict"",""Archive"":""Restrict"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","solar_solarinverter_Park_solar_location","solar_location","solar_solarinverter","solar_locationid","solar_park","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""RemoveLink"",""Archive"":""RemoveLink"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","True"
"solar_solarinverter","solar_solarinverter","lk_solar_solarinverter_createdby","systemuser","solar_solarinverter","systemuserid","createdby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","lk_solar_solarinverter_createdonbehalfby","systemuser","solar_solarinverter","systemuserid","createdonbehalfby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","lk_solar_solarinverter_modifiedby","systemuser","solar_solarinverter","systemuserid","modifiedby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","lk_solar_solarinverter_modifiedonbehalfby","systemuser","solar_solarinverter","systemuserid","modifiedonbehalfby","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","user_solar_solarinverter","systemuser","solar_solarinverter","systemuserid","owninguser","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","team_solar_solarinverter","team","solar_solarinverter","teamid","owningteam","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","owner_solar_solarinverter","owner","solar_solarinverter","ownerid","ownerid","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""NoCascade"",""Archive"":""NoCascade"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
"solar_solarinverter","solar_solarinverter","business_unit_solar_solarinverter","businessunit","solar_solarinverter","businessunitid","owningbusinessunit","ManyToOne","{""Assign"":""NoCascade"",""Delete"":""Restrict"",""Archive"":""Restrict"",""Merge"":""NoCascade"",""Reparent"":""NoCascade"",""Share"":""NoCascade"",""Unshare"":""NoCascade"",""RollupView"":""NoCascade""}","False"
